ТН;Должность;Ставка;Оклад (основной);Оклад (совместительство);Почасовая оплата;Итого
160697;Доцент;1,5;9830,0;4915,0;5284,76;21663,83
2226;Доцент;0,5;4915,0;;;7185,72
302429;Доцент;0,05;;491,5;;534,51
302429;Доцент;0,45;;4423,5;;4810,56
1139;Доцент;1,2;9830,0;1966,0;;16231,29
303243;Ассистент;1,0;8019,0;;3894,0;10245,18
303209;Профессор;1,5;9830,0;4915,0;;23586,1
303040;Старший преподаватель;1,0;5392,0;3449,2;3048,9;14064,74
74317;Доцент;0,5;;4915,0;;7185,74
74317;Доцент;1,0;9830,0;;7337,69;20681,87
5743;Старший преподаватель;1,5;8623,0;4311,5;;14460,77
527;Доцент;0,25;;2457,5;;3592,87
527;Доцент;1,25;9830,0;2457,5;4878,24;25118,46
3576;Ассистент;0,3;3810,53;2405,7;;7639,89
513;Преподаватель;1,0;8019,0;;;8965,24
177784;Ассистент;1,0;8019,0;;;6896,34
481;Доцент;1,5;8623,0;4311,5;;16129,33
303233;Доцент;1,5;9830,0;4915,0;8130,4;27281,27
2107;Профессор;0,5;;5230,5;;8456,68
74755;Профессор;1,0;9830,0;;;14371,46
1906;Доцент;1,5;9830,0;4915,0;10976,04;30996,58
2631;Старший преподаватель;0,25;2155,75;;;2224,73
164638;Ассистент;0,5;5392,0;4009,5;;11676,09
1858;Профессор;0,5;;1156,47;;6529,96
302729;Ассистент;0,5;4009,5;;;3488,26
302428;Доцент;1,5;8623,0;4311,5;4864,0;22462,94
1651;Доцент;1,0;9830,0;;;14371,46
303193;Ассистент;0,5;4009,5;;;3488,26
6872;Преподаватель;1,0;8019,0;;;8965,24
300545;Старший преподаватель;1,5;6086,82;3043,41;4867,5;16074,35
302807;Профессор;0,25;;2615,25;;4049,97
9173;Доцент;1,5;9830,0;4915,0;2845,64;22736,37
1343;Доцент;1,4;9830,0;3932,0;;20120,05
302415;Ассистент;0,65;5212,35;;;4482,62
3738;Профессор;1,5;10461,0;5230,5;18004,68;39504,58
302825;Старший преподаватель;1,5;8623,0;4311,5;3569,5;15483,78
168158;Преподаватель;1,5;8019,0;4009,5;;12413,41
2315;Доцент;1,3;9830,0;2949,0;;20289,12
540;Доцент;1,0;8623,0;;;10752,88
302796;Старший преподаватель;1,0;5392,0;2586,9;;8697,94
70915;Старший преподаватель;0,75;6467,25;;;6674,2
172897;Ассистент;0,85;6816,15;;;5861,89
2027;Профессор;0,5;;5230,5;;8456,69
2027;Профессор;1,0;10461,0;;8668,92;24368,61
302372;Старший преподаватель;1,35;4565,12;1597,79;;12499,21
573;Доцент;1,5;9830,0;4915,0;2845,64;24004,44
102460;Доцент;1,5;8623,0;4311,5;8577,57;22393,67
142549;Доцент;1,1;9830,0;983,0;;15724,07
1054;Преподаватель;0,5;;4009,5;;4482,63
70393;Старший преподаватель;1,5;8623,0;4311,5;5192,0;17813,53
172896;Старший преподаватель;1,5;8623,0;4311,5;3066,52;15985,61
2416;Профессор;0,9;9414,9;;;15222,02
104509;Доцент;0,4;;3932,0;;5410,43
104509;Старший преподаватель;1,0;9830,0;862,3;3637,2;20376,75
2011;Преподаватель;1,15;8019,0;1202,85;;10310,04
2668;Профессор;0,5;;5230,5;;8006,86
2328;Доцент;1,0;9830,0;;;15216,84
2652;Доцент;0,5;;4915,0;;7185,74
5921;Старший преподаватель;1,2;8623,0;1724,6;;11568,62
302363;Ассистент;1,0;8019,0;;;8275,61
302514;Доцент;0,5;;4915,0;;7269,28
1692;Старший преподаватель;1,0;5392,0;4311,5;6490,0;17543,18
1180;Профессор;0,5;;2813,04;;7545,57
